Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Cyprus,1990,All ages,Both,Liver cancer,"Deaths per 100,000",3.369049058,2.768023444,3.964994452
Cyprus,1991,All ages,Both,Liver cancer,"Deaths per 100,000",3.420357159,2.812020618,3.990403632
Cyprus,1992,All ages,Both,Liver cancer,"Deaths per 100,000",3.454919226,2.875933608,3.995771255
Cyprus,1993,All ages,Both,Liver cancer,"Deaths per 100,000",3.430074808,2.903474535,3.917750442
Cyprus,1994,All ages,Both,Liver cancer,"Deaths per 100,000",3.354672336,2.901643689,3.822074819
Cyprus,1995,All ages,Both,Liver cancer,"Deaths per 100,000",3.346621287,2.914032908,3.797547797
Cyprus,1996,All ages,Both,Liver cancer,"Deaths per 100,000",3.332398908,2.913458358,3.770278822
Cyprus,1997,All ages,Both,Liver cancer,"Deaths per 100,000",3.315220163,2.928897204,3.728242464
Cyprus,1998,All ages,Both,Liver cancer,"Deaths per 100,000",3.300871415,2.928049262,3.697032714
Cyprus,1999,All ages,Both,Liver cancer,"Deaths per 100,000",3.285052234,2.949652257,3.645259885
Cyprus,2000,All ages,Both,Liver cancer,"Deaths per 100,000",3.298106255,2.977807202,3.651094629
Cyprus,2001,All ages,Both,Liver cancer,"Deaths per 100,000",3.301521621,2.989766629,3.65144713
Cyprus,2002,All ages,Both,Liver cancer,"Deaths per 100,000",3.343807966,3.036226187,3.701701036
Cyprus,2003,All ages,Both,Liver cancer,"Deaths per 100,000",3.370237151,3.063585348,3.710500908
Cyprus,2004,All ages,Both,Liver cancer,"Deaths per 100,000",3.442441606,3.124639959,3.798739548
Cyprus,2005,All ages,Both,Liver cancer,"Deaths per 100,000",3.651296718,3.315629469,4.064982147
Cyprus,2006,All ages,Both,Liver cancer,"Deaths per 100,000",3.822427441,3.461600093,4.248195013
Cyprus,2007,All ages,Both,Liver cancer,"Deaths per 100,000",3.98692395,3.609157956,4.447689962
Cyprus,2008,All ages,Both,Liver cancer,"Deaths per 100,000",4.09353501,3.712705796,4.543769611
Cyprus,2009,All ages,Both,Liver cancer,"Deaths per 100,000",4.216715904,3.822720616,4.665656092
Cyprus,2010,All ages,Both,Liver cancer,"Deaths per 100,000",4.34509647,3.95847007,4.755364738
Cyprus,2011,All ages,Both,Liver cancer,"Deaths per 100,000",4.424515478,4.020466673,4.841345255
Cyprus,2012,All ages,Both,Liver cancer,"Deaths per 100,000",4.517665183,4.081064275,4.970955267
Cyprus,2013,All ages,Both,Liver cancer,"Deaths per 100,000",4.610974227,4.175564488,5.066128569
Cyprus,2014,All ages,Both,Liver cancer,"Deaths per 100,000",4.666205038,4.22529305,5.140965336
Cyprus,2015,All ages,Both,Liver cancer,"Deaths per 100,000",4.739844224,4.260785756,5.264766023
Cyprus,2016,All ages,Both,Liver cancer,"Deaths per 100,000",4.764882279,4.241793241,5.319398383
Cyprus,2017,All ages,Both,Liver cancer,"Deaths per 100,000",4.763132409,4.224137121,5.402507199
Cyprus,2018,All ages,Both,Liver cancer,"Deaths per 100,000",4.837784301,4.201989641,5.537002405
Cyprus,2019,All ages,Both,Liver cancer,"Deaths per 100,000",4.923250511,4.233476668,5.694098285
Cyprus,1990,All ages,Male,Liver cancer,"Deaths per 100,000",4.367775356,3.433518131,5.400147243
Cyprus,1991,All ages,Male,Liver cancer,"Deaths per 100,000",4.473730654,3.537437369,5.476895172
Cyprus,1992,All ages,Male,Liver cancer,"Deaths per 100,000",4.545443437,3.659589564,5.512544719
Cyprus,1993,All ages,Male,Liver cancer,"Deaths per 100,000",4.518771497,3.68800354,5.386069729
Cyprus,1994,All ages,Male,Liver cancer,"Deaths per 100,000",4.444587673,3.699291913,5.265926042
Cyprus,1995,All ages,Male,Liver cancer,"Deaths per 100,000",4.474317446,3.771521502,5.307879598
Cyprus,1996,All ages,Male,Liver cancer,"Deaths per 100,000",4.496475405,3.795638301,5.2968239
Cyprus,1997,All ages,Male,Liver cancer,"Deaths per 100,000",4.498482807,3.836413575,5.249542406
Cyprus,1998,All ages,Male,Liver cancer,"Deaths per 100,000",4.491814214,3.876835658,5.181841938
Cyprus,1999,All ages,Male,Liver cancer,"Deaths per 100,000",4.466804626,3.894390226,5.119472788
Cyprus,2000,All ages,Male,Liver cancer,"Deaths per 100,000",4.500345745,3.933154562,5.106281864
Cyprus,2001,All ages,Male,Liver cancer,"Deaths per 100,000",4.469888964,3.936699504,5.064349948
Cyprus,2002,All ages,Male,Liver cancer,"Deaths per 100,000",4.477958748,3.952871324,5.089360131
Cyprus,2003,All ages,Male,Liver cancer,"Deaths per 100,000",4.443234389,3.933719704,5.032255184
Cyprus,2004,All ages,Male,Liver cancer,"Deaths per 100,000",4.499645698,3.981532649,5.096005848
Cyprus,2005,All ages,Male,Liver cancer,"Deaths per 100,000",4.764769166,4.217420333,5.42122545
Cyprus,2006,All ages,Male,Liver cancer,"Deaths per 100,000",4.905719445,4.308741776,5.611024079
Cyprus,2007,All ages,Male,Liver cancer,"Deaths per 100,000",5.097715181,4.473696104,5.839314646
Cyprus,2008,All ages,Male,Liver cancer,"Deaths per 100,000",5.174889075,4.569711939,5.93246815
Cyprus,2009,All ages,Male,Liver cancer,"Deaths per 100,000",5.387881839,4.754233265,6.109334744
Cyprus,2010,All ages,Male,Liver cancer,"Deaths per 100,000",5.56522641,4.898106759,6.209744547
Cyprus,2011,All ages,Male,Liver cancer,"Deaths per 100,000",5.619394011,4.943325213,6.301340681
Cyprus,2012,All ages,Male,Liver cancer,"Deaths per 100,000",5.724020865,4.999929519,6.441456666
Cyprus,2013,All ages,Male,Liver cancer,"Deaths per 100,000",5.839020865,5.099704048,6.613947463
Cyprus,2014,All ages,Male,Liver cancer,"Deaths per 100,000",5.911668769,5.173937188,6.763668151
Cyprus,2015,All ages,Male,Liver cancer,"Deaths per 100,000",6.010869239,5.209741443,6.871913187
Cyprus,2016,All ages,Male,Liver cancer,"Deaths per 100,000",6.030400015,5.182871381,6.992512125
Cyprus,2017,All ages,Male,Liver cancer,"Deaths per 100,000",5.996001514,5.128258903,6.991684277
Cyprus,2018,All ages,Male,Liver cancer,"Deaths per 100,000",6.116791454,5.162278499,7.176342123
Cyprus,2019,All ages,Male,Liver cancer,"Deaths per 100,000",6.260411684,5.22063836,7.442193273
Cyprus,1990,All ages,Female,Liver cancer,"Deaths per 100,000",2.357023038,1.789648114,3.026077297
Cyprus,1991,All ages,Female,Liver cancer,"Deaths per 100,000",2.352147116,1.773158292,3.009091672
Cyprus,1992,All ages,Female,Liver cancer,"Deaths per 100,000",2.348878193,1.798971695,2.958072812
Cyprus,1993,All ages,Female,Liver cancer,"Deaths per 100,000",2.325923095,1.798051142,2.895436845
Cyprus,1994,All ages,Female,Liver cancer,"Deaths per 100,000",2.249319416,1.764271206,2.775272115
Cyprus,1995,All ages,Female,Liver cancer,"Deaths per 100,000",2.203113421,1.755239892,2.713050918
Cyprus,1996,All ages,Female,Liver cancer,"Deaths per 100,000",2.152496991,1.729073818,2.603973515
Cyprus,1997,All ages,Female,Liver cancer,"Deaths per 100,000",2.116725498,1.730015646,2.52772879
Cyprus,1998,All ages,Female,Liver cancer,"Deaths per 100,000",2.095617534,1.744604063,2.481057909
Cyprus,1999,All ages,Female,Liver cancer,"Deaths per 100,000",2.090060241,1.756334625,2.470321102
Cyprus,2000,All ages,Female,Liver cancer,"Deaths per 100,000",2.083562641,1.769571609,2.443748019
Cyprus,2001,All ages,Female,Liver cancer,"Deaths per 100,000",2.122738954,1.825963951,2.486004906
Cyprus,2002,All ages,Female,Liver cancer,"Deaths per 100,000",2.201366834,1.893579811,2.570223622
Cyprus,2003,All ages,Female,Liver cancer,"Deaths per 100,000",2.291209254,1.952361835,2.654478981
Cyprus,2004,All ages,Female,Liver cancer,"Deaths per 100,000",2.38116216,2.05061033,2.773717252
Cyprus,2005,All ages,Female,Liver cancer,"Deaths per 100,000",2.535791614,2.1965469,2.948264658
Cyprus,2006,All ages,Female,Liver cancer,"Deaths per 100,000",2.739519952,2.369349359,3.176619887
