Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound,latitude,longitude
Cyprus,1990,All ages,Both,Liver cancer,"Deaths per 100,000",3.369049058,2.768023444,3.964994452,35.126413,33.429859
Cyprus,1991,All ages,Both,Liver cancer,"Deaths per 100,000",3.420357159,2.812020618,3.990403632,35.126413,33.429859
Cyprus,1992,All ages,Both,Liver cancer,"Deaths per 100,000",3.454919226,2.875933608,3.995771255,35.126413,33.429859
Cyprus,1993,All ages,Both,Liver cancer,"Deaths per 100,000",3.430074808,2.903474535,3.917750442,35.126413,33.429859
Cyprus,1994,All ages,Both,Liver cancer,"Deaths per 100,000",3.354672336,2.901643689,3.822074819,35.126413,33.429859
Cyprus,1995,All ages,Both,Liver cancer,"Deaths per 100,000",3.346621287,2.914032908,3.797547797,35.126413,33.429859
Cyprus,1996,All ages,Both,Liver cancer,"Deaths per 100,000",3.332398908,2.913458358,3.770278822,35.126413,33.429859
Cyprus,1997,All ages,Both,Liver cancer,"Deaths per 100,000",3.315220163,2.928897204,3.728242464,35.126413,33.429859
Cyprus,1998,All ages,Both,Liver cancer,"Deaths per 100,000",3.300871415,2.928049262,3.697032714,35.126413,33.429859
Cyprus,1999,All ages,Both,Liver cancer,"Deaths per 100,000",3.285052234,2.949652257,3.645259885,35.126413,33.429859
Cyprus,2000,All ages,Both,Liver cancer,"Deaths per 100,000",3.298106255,2.977807202,3.651094629,35.126413,33.429859
Cyprus,2001,All ages,Both,Liver cancer,"Deaths per 100,000",3.301521621,2.989766629,3.65144713,35.126413,33.429859
Cyprus,2002,All ages,Both,Liver cancer,"Deaths per 100,000",3.343807966,3.036226187,3.701701036,35.126413,33.429859
Cyprus,2003,All ages,Both,Liver cancer,"Deaths per 100,000",3.370237151,3.063585348,3.710500908,35.126413,33.429859
Cyprus,2004,All ages,Both,Liver cancer,"Deaths per 100,000",3.442441606,3.124639959,3.798739548,35.126413,33.429859
Cyprus,2005,All ages,Both,Liver cancer,"Deaths per 100,000",3.651296718,3.315629469,4.064982147,35.126413,33.429859
Cyprus,2006,All ages,Both,Liver cancer,"Deaths per 100,000",3.822427441,3.461600093,4.248195013,35.126413,33.429859
Cyprus,2007,All ages,Both,Liver cancer,"Deaths per 100,000",3.98692395,3.609157956,4.447689962,35.126413,33.429859
Cyprus,2008,All ages,Both,Liver cancer,"Deaths per 100,000",4.09353501,3.712705796,4.543769611,35.126413,33.429859
Cyprus,2009,All ages,Both,Liver cancer,"Deaths per 100,000",4.216715904,3.822720616,4.665656092,35.126413,33.429859
Cyprus,2010,All ages,Both,Liver cancer,"Deaths per 100,000",4.34509647,3.95847007,4.755364738,35.126413,33.429859
Cyprus,2011,All ages,Both,Liver cancer,"Deaths per 100,000",4.424515478,4.020466673,4.841345255,35.126413,33.429859
Cyprus,2012,All ages,Both,Liver cancer,"Deaths per 100,000",4.517665183,4.081064275,4.970955267,35.126413,33.429859
Cyprus,2013,All ages,Both,Liver cancer,"Deaths per 100,000",4.610974227,4.175564488,5.066128569,35.126413,33.429859
Cyprus,2014,All ages,Both,Liver cancer,"Deaths per 100,000",4.666205038,4.22529305,5.140965336,35.126413,33.429859
Cyprus,2015,All ages,Both,Liver cancer,"Deaths per 100,000",4.739844224,4.260785756,5.264766023,35.126413,33.429859
Cyprus,2016,All ages,Both,Liver cancer,"Deaths per 100,000",4.764882279,4.241793241,5.319398383,35.126413,33.429859
Cyprus,2017,All ages,Both,Liver cancer,"Deaths per 100,000",4.763132409,4.224137121,5.402507199,35.126413,33.429859
Cyprus,2018,All ages,Both,Liver cancer,"Deaths per 100,000",4.837784301,4.201989641,5.537002405,35.126413,33.429859
Cyprus,2019,All ages,Both,Liver cancer,"Deaths per 100,000",4.923250511,4.233476668,5.694098285,35.126413,33.429859
Lebanon,1990,All ages,Both,Liver cancer,"Deaths per 100,000",2.425909609,1.986203544,2.978039186,33.854721,35.862285
Lebanon,1991,All ages,Both,Liver cancer,"Deaths per 100,000",2.465256878,2.039226445,3.001764626,33.854721,35.862285
Lebanon,1992,All ages,Both,Liver cancer,"Deaths per 100,000",2.50508975,2.093601557,3.008771773,33.854721,35.862285
Lebanon,1993,All ages,Both,Liver cancer,"Deaths per 100,000",2.535001545,2.136238029,3.02307515,33.854721,35.862285
Lebanon,1994,All ages,Both,Liver cancer,"Deaths per 100,000",2.542999499,2.162770329,3.028448667,33.854721,35.862285
Lebanon,1995,All ages,Both,Liver cancer,"Deaths per 100,000",2.558849124,2.194432291,3.020956171,33.854721,35.862285
Lebanon,1996,All ages,Both,Liver cancer,"Deaths per 100,000",2.593581099,2.214120452,3.065588217,33.854721,35.862285
Lebanon,1997,All ages,Both,Liver cancer,"Deaths per 100,000",2.641750639,2.231431779,3.110115934,33.854721,35.862285
Lebanon,1998,All ages,Both,Liver cancer,"Deaths per 100,000",2.594355392,2.223823896,3.083451984,33.854721,35.862285
Lebanon,1999,All ages,Both,Liver cancer,"Deaths per 100,000",2.64229603,2.260800994,3.12633244,33.854721,35.862285
Lebanon,2000,All ages,Both,Liver cancer,"Deaths per 100,000",2.697881347,2.294554425,3.171056746,33.854721,35.862285
Lebanon,2001,All ages,Both,Liver cancer,"Deaths per 100,000",2.758642115,2.354774577,3.23098311,33.854721,35.862285
Lebanon,2002,All ages,Both,Liver cancer,"Deaths per 100,000",2.80904866,2.392919133,3.298399213,33.854721,35.862285
Lebanon,2003,All ages,Both,Liver cancer,"Deaths per 100,000",2.827949117,2.416153758,3.317709815,33.854721,35.862285
Lebanon,2004,All ages,Both,Liver cancer,"Deaths per 100,000",2.869661686,2.457701958,3.393452564,33.854721,35.862285
Lebanon,2005,All ages,Both,Liver cancer,"Deaths per 100,000",2.898676051,2.46469453,3.448971566,33.854721,35.862285
Lebanon,2006,All ages,Both,Liver cancer,"Deaths per 100,000",2.955745824,2.511447102,3.556571241,33.854721,35.862285
Lebanon,2007,All ages,Both,Liver cancer,"Deaths per 100,000",3.018282308,2.553029348,3.729650176,33.854721,35.862285
Lebanon,2008,All ages,Both,Liver cancer,"Deaths per 100,000",3.001562974,2.47720304,3.814705358,33.854721,35.862285
Lebanon,2009,All ages,Both,Liver cancer,"Deaths per 100,000",3.012459034,2.444225421,3.912309927,33.854721,35.862285
Lebanon,2010,All ages,Both,Liver cancer,"Deaths per 100,000",3.013869211,2.408233802,4.002683602,33.854721,35.862285
Lebanon,2011,All ages,Both,Liver cancer,"Deaths per 100,000",2.950228311,2.33441794,3.994957046,33.854721,35.862285
Lebanon,2012,All ages,Both,Liver cancer,"Deaths per 100,000",2.808423817,2.192786333,3.86837932,33.854721,35.862285
Lebanon,2013,All ages,Both,Liver cancer,"Deaths per 100,000",2.739686125,2.104828679,3.859758728,33.854721,35.862285
Lebanon,2014,All ages,Both,Liver cancer,"Deaths per 100,000",2.770820957,2.119212994,3.879120405,33.854721,35.862285
Lebanon,2015,All ages,Both,Liver cancer,"Deaths per 100,000",2.825372456,2.134348409,3.947236896,33.854721,35.862285
Lebanon,2016,All ages,Both,Liver cancer,"Deaths per 100,000",2.869216394,2.178754166,4.007072032,33.854721,35.862285
Lebanon,2017,All ages,Both,Liver cancer,"Deaths per 100,000",2.912171728,2.200244897,4.099093864,33.854721,35.862285
Lebanon,2018,All ages,Both,Liver cancer,"Deaths per 100,000",2.952097475,2.213977044,4.117143899,33.854721,35.862285
Lebanon,2019,All ages,Both,Liver cancer,"Deaths per 100,000",2.988610667,2.211196174,4.163458664,33.854721,35.862285
Turkey,1990,All ages,Both,Liver cancer,"Deaths per 100,000",2.303677067,1.847054291,2.78655623,38.963745,35.243322
Turkey,1991,All ages,Both,Liver cancer,"Deaths per 100,000",2.311116622,1.858411207,2.797936477,38.963745,35.243322
Turkey,1992,All ages,Both,Liver cancer,"Deaths per 100,000",2.304086962,1.869115184,2.769014055,38.963745,35.243322
Turkey,1993,All ages,Both,Liver cancer,"Deaths per 100,000",2.316265559,1.89683493,2.776733251,38.963745,35.243322
Turkey,1994,All ages,Both,Liver cancer,"Deaths per 100,000",2.328021085,1.921901749,2.773735318,38.963745,35.243322
Turkey,1995,All ages,Both,Liver cancer,"Deaths per 100,000",2.332211067,1.919030058,2.791282037,38.963745,35.243322
Turkey,1996,All ages,Both,Liver cancer,"Deaths per 100,000",2.327020135,1.948685872,2.763261897,38.963745,35.243322
Turkey,1997,All ages,Both,Liver cancer,"Deaths per 100,000",2.354546744,1.977618393,2.784608675,38.963745,35.243322
Turkey,1998,All ages,Both,Liver cancer,"Deaths per 100,000",2.290872057,1.939634979,2.703409274,38.963745,35.243322
Turkey,1999,All ages,Both,Liver cancer,"Deaths per 100,000",2.232137647,1.906426471,2.600154037,38.963745,35.243322
Turkey,2000,All ages,Both,Liver cancer,"Deaths per 100,000",2.170354366,1.884191836,2.480388766,38.963745,35.243322
Turkey,2001,All ages,Both,Liver cancer,"Deaths per 100,000",2.244893529,1.968064014,2.54526069,38.963745,35.243322
Turkey,2002,All ages,Both,Liver cancer,"Deaths per 100,000",2.325367613,2.029843699,2.631111128,38.963745,35.243322
Turkey,2003,All ages,Both,Liver cancer,"Deaths per 100,000",2.375106207,2.012613543,2.725089747,38.963745,35.243322
Turkey,2004,All ages,Both,Liver cancer,"Deaths per 100,000",2.369832593,1.991722016,2.720270361,38.963745,35.243322
Turkey,2005,All ages,Both,Liver cancer,"Deaths per 100,000",2.382227129,2.020150875,2.750235913,38.963745,35.243322
Turkey,2006,All ages,Both,Liver cancer,"Deaths per 100,000",2.412599769,2.056021957,2.789418199,38.963745,35.243322
Turkey,2007,All ages,Both,Liver cancer,"Deaths per 100,000",2.446824799,2.082916089,2.828281345,38.963745,35.243322
Turkey,2008,All ages,Both,Liver cancer,"Deaths per 100,000",2.497722093,2.148994762,2.897485448,38.963745,35.243322
Turkey,2009,All ages,Both,Liver cancer,"Deaths per 100,000",2.522827918,2.206101418,2.888407014,38.963745,35.243322
Turkey,2010,All ages,Both,Liver cancer,"Deaths per 100,000",2.560542395,2.269728588,2.900967265,38.963745,35.243322
Turkey,2011,All ages,Both,Liver cancer,"Deaths per 100,000",2.623223648,2.345251533,2.932338326,38.963745,35.243322
Turkey,2012,All ages,Both,Liver cancer,"Deaths per 100,000",2.667647917,2.398775491,2.956936098,38.963745,35.243322
Turkey,2013,All ages,Both,Liver cancer,"Deaths per 100,000",2.765809649,2.481053398,3.066430772,38.963745,35.243322
Turkey,2014,All ages,Both,Liver cancer,"Deaths per 100,000",2.829443841,2.545415202,3.139535501,38.963745,35.243322
Turkey,2015,All ages,Both,Liver cancer,"Deaths per 100,000",2.866067906,2.553588622,3.207971674,38.963745,35.243322
Turkey,2016,All ages,Both,Liver cancer,"Deaths per 100,000",2.919139761,2.554387872,3.320477614,38.963745,35.243322
Turkey,2017,All ages,Both,Liver cancer,"Deaths per 100,000",2.980032529,2.513656673,3.498930744,38.963745,35.243322
Turkey,2018,All ages,Both,Liver cancer,"Deaths per 100,000",3.043588617,2.489380033,3.67696019,38.963745,35.243322
Turkey,2019,All ages,Both,Liver cancer,"Deaths per 100,000",3.11798755,2.469285153,3.835669521,38.963745,35.243322
Palestine,1990,All ages,Both,Liver cancer,"Deaths per 100,000",3.592364098,2.668425149,4.768566426,31.952162,35.233154
Palestine,1991,All ages,Both,Liver cancer,"Deaths per 100,000",3.521603351,2.64194878,4.593303035,31.952162,35.233154
